timestamp_s,Fuerza de Prensión_Kg,EMG(FP)_mv
0.0090,0.0010,17.0600
0.1320,0.0000,21.0600
0.3080,0.0000,24.9200
0.4880,0.0000,26.6900
0.6640,0.0000,23.6600
0.8440,-0.0010,22.0700
1.0210,-0.0010,19.6000
1.1980,0.0020,20.8500
1.3770,0.0200,24.1200
1.5530,0.0650,25.1700
1.7330,0.1270,24.5200
1.9090,0.1870,32.0000
2.0860,0.2340,50.1900
2.2660,0.2640,66.5500
2.4420,0.2780,79.3600
2.6230,0.2870,72.8400
2.7980,0.2940,63.0100
2.9750,0.3010,53.6700
3.1550,0.3060,47.9000
3.3310,0.3080,47.5300
3.5110,0.3050,51.1700
3.6870,0.2910,48.5800
3.8630,0.2740,47.9300
4.0440,0.2590,47.0700
4.2200,0.2550,46.2400
4.4000,0.2630,46.4600
4.5770,0.2820,44.4700
4.7560,0.2380,36.8300
4.9330,0.1290,33.5000
5.1090,0.0250,28.2600
5.2970,0.0030,25.0000
5.4650,0.0000,20.9300
5.6450,0.0000,17.4500
5.8220,0.0000,15.0000
6.0020,0.0000,15.9600
6.1780,0.0000,24.7900
6.3540,0.0000,41.3400
6.5340,0.0000,59.1400
6.7110,0.0000,69.0000
6.8910,-0.0010,67.5800
7.0670,0.0060,58.1800
7.2430,0.0390,54.4200
7.4230,0.0980,55.3600
7.6000,0.1650,57.8900
7.7800,0.2180,55.2600
7.9560,0.2560,56.7500
8.1320,0.2780,59.4300
8.3120,0.2880,60.0900
8.4890,0.2930,59.1200
8.6680,0.2980,57.5400
8.8450,0.3000,55.1000
9.0210,0.2970,49.3200
9.2010,0.2980,44.9200
9.3770,0.3050,38.2200
9.5570,0.2680,33.0000
9.7330,0.1630,27.5600
9.9130,0.0510,24.8400
10.0900,0.0070,23.0200
10.2660,0.0000,23.4000
10.4460,0.0000,22.5900
10.6220,0.0000,20.7400
10.8030,0.0000,18.7500
10.9790,0.0000,16.5100
11.1550,0.0000,14.7200
11.3360,0.0000,14.8100
11.5110,0.0000,12.1900
11.6920,0.0040,11.2400
11.8680,0.0360,11.8000
12.0440,0.1250,11.8100
12.2240,0.2190,12.5300
12.4000,0.2730,10.7100
12.5800,0.2900,14.3000
12.7560,0.2990,22.2100
12.9370,0.2990,32.0400
13.1130,0.2970,46.4000
13.2890,0.2940,57.3000
13.4690,0.2980,67.0300
13.6450,0.3020,66.4300
13.8250,0.3100,60.7500
14.0020,0.3230,55.2100
14.1780,0.3350,53.6700
14.3580,0.3390,54.9400
14.5350,0.3330,64.1000
14.7150,0.2530,64.0700
14.8910,0.1210,63.1500
