timestamp_s,angle_deg
0.0450,0.0000
0.0490,-0.8400
0.1480,-0.8900
0.2500,-0.9200
0.3570,-0.9500
0.4630,-0.9600
0.5730,-1.0100
0.6760,-1.0400
0.7740,-1.0300
0.8730,-1.2000
0.9750,-1.2600
1.0740,-1.2700
1.1840,-1.3200
1.2870,-1.3700
1.3850,-1.4400
1.4870,-1.4700
1.5890,-1.4900
1.6880,-1.5500
1.7940,-1.6200
1.9050,-1.6500
2.0030,-1.6800
2.1060,-1.6800
2.2040,-1.7200
2.3150,-1.7500
2.4130,-1.7500
2.5150,-1.7900
2.6140,-1.8400
2.7160,-1.8600
2.8180,-1.9200
2.9170,-1.9300
3.0190,-1.9600
3.1260,-1.9900
3.2320,-2.0300
3.3430,-2.0600
3.4450,-2.0900
3.5440,-2.1200
3.6460,-2.1500
3.7530,-2.1900
3.8550,-2.2000
3.9530,-2.2100
4.0550,-2.2300
4.1540,-2.2600
4.2560,-2.2600
4.3580,-2.2900
4.4610,-2.3100
4.5720,-2.3100
4.6740,-2.3300
4.7850,-2.3700
4.8950,-2.3900
